lambda,Chlorophyll_a,Divinylchlorophyll_a,Chlorophyll_b,Divinylchlorophyll_b,Chlorophyll_c12,Fucoxanthin,19_BF,19_HF,Peri,Diad,Zeaxanthin,Alloxanthin,beta_Carotene,alpha_Carotene
400,NaN,NaN,0.00418,0.00428,0.01987,0.00348,0.0025,0.00268,0.00365,0.01104,0.01259,0.01198,0.01742,0.01622
402,NaN,NaN,0.00399,0.00399,0.02021,0.00374,0.00277,0.00289,0.00385,0.01212,0.01371,0.01304,0.01881,0.01764
404,NaN,NaN,0.00389,0.00379,0.02051,0.00403,0.0031,0.00314,0.00412,0.01328,0.01484,0.0141,0.02014,0.01878
406,NaN,NaN,0.00386,0.00365,0.02075,0.00436,0.00325,0.00349,0.00439,0.01447,0.01602,0.01525,0.02153,0.01991
408,NaN,0.013822,0.00394,0.00362,0.0209,0.00468,0.00354,0.0038,0.00469,0.01559,0.01714,0.01636,0.0228,0.02091
410,0.02425607,0.014117,0.00407,0.00362,0.02101,0.00504,0.00393,0.00414,0.00499,0.01659,0.01814,0.01733,0.02398,0.02176
412,0.02493544,0.01452,0.00428,0.00374,0.02114,0.00544,0.00423,0.00451,0.00553,0.01754,0.01917,0.01835,0.0252,0.0228
414,0.025567711,0.015086,0.00458,0.00394,0.02131,0.00588,0.00465,0.00489,0.006,0.01834,0.02021,0.01933,0.02653,0.02408
416,0.026669546,0.015871,0.00492,0.00419,0.0215,0.00631,0.00497,0.00526,0.0064,0.01914,0.02125,0.02031,0.02781,0.02545
418,0.027757108,0.016721,0.00553,0.00456,0.02183,0.00682,0.00536,0.00579,0.0068,0.02005,0.02242,0.02137,0.02936,0.02729
420,0.028544949,0.017759,0.00645,0.00499,0.0224,0.00733,0.00584,0.00632,0.00727,0.02117,0.02377,0.0226,0.0309,0.02947
422,0.029468378,0.018688,0.00714,0.0055,0.02313,0.00788,0.00625,0.00678,0.00771,0.02245,0.02535,0.02404,0.03266,0.03183
424,0.030033568,0.019576,0.00791,0.00607,0.02394,0.00878,0.00721,0.00775,0.00817,0.02412,0.02702,0.02562,0.03442,0.0342
426,0.030329008,0.020386,0.00881,0.0067,0.0249,0.00965,0.00801,0.00859,0.00868,0.02607,0.02883,0.02736,0.03618,0.03637
428,0.030329008,0.021071,0.00979,0.00739,0.02609,0.01031,0.00855,0.00918,0.00915,0.02819,0.03113,0.02961,0.03826,0.0386
430,0.030363262,0.021595,0.01068,0.00813,0.02754,0.01103,0.00923,0.0099,0.00968,0.03014,0.03393,0.03246,0.04071,0.04058
