Strain,OGT_old,OGT
EQPAC1,26.12,23.12
MED4,25.97,22.97
MIT9515,26.03,23.03
AS9601,28.43,28.43
GP2,29.08,29.08
MIT0604,29.2,29.2
MIT9107,28.67,28.67
MIT9116,28.64,28.64
MIT9123,28.59,28.59
MIT9201,28.94,28.94
MIT9202,29.34,29.34
MIT9215,29.27,29.27
MIT9301,28.37,28.37
MIT9302,28.81,28.81
MIT9311,28.89,28.89
MIT9312,28.88,28.88
MIT9314,29.06,29.06
MIT9321,28.59,28.59
MIT9322,28.48,28.48
MIT9401,28.52,28.52
RS01,29.11,29.11
RS04,29.06,29.06
RS50,29.12,29.12
SB,27.86,27.86
MIT1314,28.19,28.19
XMU1401,29.11,29.11
MIT0801,22.78,21.78
NATL1A,22.59,21.59
NATL2A,22.03,21.03
PAC1,22.85,21.85
MIT0912,22.56,21.56
MIT0913,22.14,21.14
MIT0915,22.91,21.91
MIT0917,22.46,21.46
MIT1013,22.67,21.67
MIT1214,22.79,21.79
LG,22.19,19.19
MIT0601,22.4,19.4
MIT0602,21.81,18.81
MIT0603,21.78,18.78
MIT9211,21.78,18.78
SS120,22.33,19.33
SS2,22.29,19.29
SS35,22.16,19.16
SS51,22.19,19.19
SS52,22.23,19.23
MIT0918,22.41,19.41
MIT0919,22.79,19.79
MIT1304,22.43,19.43
MIT1303,22.31,17.31
MIT1306,22.33,17.33
MIT1312,22.03,17.03
MIT1318,22.05,17.05
MIT1320,22.19,17.19
MIT1323,22.75,17.75
MIT1327,22.18,17.18
MIT1342,22.91,17.91
MIT9303,22.26,17.26
MIT9313,23.36,18.36
MIT0701,22.41,17.41
MIT0702,22.14,17.14
MIT0703,22.01,17.01
MIT1205,22.28,17.28
MIT1227,21.48,16.48
MIT1303,22.01,17.01
MIT1313,22.33,17.33
MIT1320,22.09,17.09
MIT1418,22.18,17.18
P1344,22.35,17.35
P1361,22.31,17.31
P1363,22.38,17.38
