Station,Lat,Lon,Date,Depth,Chl_GFF,Chl_0_2,Chl_5,Chl_2to5,Chl_0_2to2,Chl_10,Chl_5to10,Hbac1,Cyrptophytes,Cocolithophores,Syn,Pro,Peuk,Hbac2,Neuk,DMSP_particulate,DMSP_dissolved_plus_particulate,DMS_dissolved_plus_particulate,GP,GP_se,NCP,DCR,HPLC_Allo,HPLC_19But,HPLC_Chl_b,HPLC_Chl_c2,HPLC_Chl_c3,HPLC_Chl_a,HPLC_Diad,HPLC_dv_Chl_a,HPLC_dv_Chl_b,HPLC_Fuco,HPLC_19Hex,HPLC_Peri,HPLC_Viol,HPLC_Zea,Ammonium,Nitrite,NitratePlusNitrite,Orthophosphate,Silicate,POC,PON,PP_14C_0_2to2,PP_14C_2plus,Zinser_QPCR,HLI,HLII,Zinser_MIT_9211,LLI,LLII_LLIII,LLIV,Density,Temp,Salinity,PAR,LightSwitch,Fluor_Chl_a,kd412,kd443,kd490,kd510,kd560,kd620,kd665,kd685,Dist
PO4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001023372,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.00104729,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001071767,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001096816,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001122451,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001148684,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001175531,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001203005,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001231122,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001259895,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001289341,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001319476,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001350314,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001381873,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.00141417,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001447222,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001481046,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001515661,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001551084,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001587336,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001624435,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001662401,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001701254,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
PO4,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0.001741016,,,,,,,,,,,,,,0,,,0,,,,,,,,,,
